Comienca comienca RG 0.952324
manera manera NCFS000 1
de de SPS00 0.999758
tyseras tyseras NCFP000 0.580785
, , Fc 1
asi así RG 1
que que CS 0.351047
sea ser VSSP1S0 0.492443
abierta abrir VMPS0SF 0.357143
ençima encima RG 1
a a SPS00 0.956937
dos 2 Z 0.994169
partes parte NCFP000 0.498818
, , Fc 1
e e CC 1
çerrada cerrar VMPS0SF 1
en en SPS00 1
fondon fondón RG 1
, , Fc 1
asi así RG 1
como como CS 0.953008
ferradura herradura NCFS000 1
de de SPS00 0.999758
cauallo caballo NCMS000 1
asi así RG 1
como como CS 0.953008
tyseras tyseras NCFP000 0.580785
, , Fc 1
en en SPS00 1
manera manera NCFS000 1
que que PR0CN000 0.648953
los lo PP3MPA00 0.0355791
tomen tomar VMSP3P0 0.970833
en en SPS00 1
medio medio AQ0MS0 0.956897
, , Fc 1
e e CC 1
les le PP3CPD00 1
den dar VMSP3P0 0.954545
de de SPS00 0.999758
cada cada DI0CS0 1
parte parte NCFS000 0.467611
. . Fp 1

Mas mas CC 0.345275
si si CS 0.944444
los el DA0MP0 0.964169
enemigos enemigo NCMP000 0.65625
son ser VSIP3P0 0.987239
mas más RG 0.654277
que que CS 0.351047
ellos ellos PP3MP000 1
, , Fc 1
entonçes entonces RG 0.912499
deuen deber VMIP3P0 1
formar formar VMN0000 1
el el DA0MS0 0.880831
az haz NCMS000 0.212121
, , Fc 1
a a SPS00 0.956937
manera manera NCFS000 1
de de SPS00 0.999758
pera pera NCFS000 1
, , Fc 1
asi así RG 1
que que CS 0.351047
sea ser VSSP1S0 0.492443
aguda agudo AQ0FS0 1
ençima encima RG 1
, , Fc 1
e e CC 1
puedan poder VMSP3P0 0.916667
foradar horadar VMN0000 1
e e CC 1
partyr partir VMN0000 1
los el DA0MP0 0.964169
enemigos enemigo NCMP000 0.65625
. . Fp 1

Ca ca CS 0.982082
ellos ellos PP3MP000 1
partydos partido NCMP000 0.539929
, , Fc 1
mas mas CC 0.345275
ligeramente ligeramente RG 1
se saber VMIP1S0 0.763441
podra poder VMIF3S0 0.954545
vençer vencer VMN0000 1
, , Fc 1
e e CC 1
asi así RG 1
es ser VSIP3S0 1
mas más RG 0.654277
prouechosa provechoso AQ0FS0 1
para para SPS00 0.988789
sofrir sufrir VMN0000 1
golpes golpe NCMP000 1
; ; Fx 1
e e CC 1
el el DA0MS0 0.880831
az haz NCMS000 0.212121
tyseral tyseral AQ0CS00 1
es ser VSIP3S0 1
prouechosa provechoso AQ0FS0 1
para para SPS00 0.988789
çercarlos cercar+lo VMN0000+PP3MPA00 1
quando cuándo PT000000 1
son ser VSIP3P0 0.987239
pocos poco DI0MP0 0.65625
; ; Fx 1
et et CC 1
la el DA0FS0 0.897854
manera manera NCFS000 1
de de SPS00 0.999758
pera pera NCFS000 1
es ser VSIP3S0 1
prouechosa provechoso AQ0FS0 1
para para SPS00 0.988789
partyrlos partir+lo VMN0000+PP3MPA00 1
quando cuándo PT000000 1
son ser VSIP3P0 0.987239
muchos mucho DI0MP0 0.876506
; ; Fx 1
e e CC 1
en en SPS00 1
estas este DD0FP0 0.776824
maneras manera NCFP000 1
se ser VSM02S0 0.225806
puede poder VMIP3S0 0.960993
acometer acometer VMN0000 1
, , Fc 1
e e CC 1
en en SPS00 1
estas este DD0FP0 0.776824
azes haz NCMP000 0.755253
los el DA0MP0 0.964169
cabdillos caudillo NCMP000 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
vieren ver VMSF3P0 1
que que PR0CN000 0.648953
tienen tener VMIP3P0 1
las el DA0FP0 0.860393
conpañas compañía NCFP000 1
, , Fc 1
asi así RG 1
deuen deber VMIP3P0 1
formar formar VMN0000 1
las el DA0FP0 0.860393
azes haz NCMP000 0.755253
, , Fc 1
e e CC 1
a a SPS00 0.956937
manera manera NCFS000 1
que que PR0CN000 0.648953
sienpre siempre RG 1
en en SPS00 1
comienço comienzo NCMS000 1
dellas dellas_de+dellas_el SP+DA 0.5
do donde PR000000 0.984536
es ser VSIP3S0 1
el el DA0MS0 0.880831
mayor mayor AQ0CS0 0.996454
peligro peligro NCMS000 0.846154
, , Fc 1
pongan poner VMSP3P0 0.970833
los el DA0MP0 0.964169
mayores mayor AQ0CP0 0.5
lidiadores lidiador NCMP000 1
, , Fc 1
e e CC 1
sin sin SPS00 1
estos este PD0MP000 0.133621
que que PR0CN000 0.648953
estan estar VAIP3P0 1
puestos poner VMPS0PM 0.65625
en en SPS00 1
az haz NCMS000 0.212121
, , Fc 1
deuen deber VMIP3P0 1
sienpre siempre RG 1
tener tener VMN0000 1
algunos alguno DI0MP0 0.68018
fuertes fuerte AQ0CP0 1
e e CC 1
buenos bueno AQ0MP0 1
caualleros caballero NCMP000 0.954545
fuera fuera RG 0.630682
de de SPS00 0.999758
la el DA0FS0 0.897854
az haz NCMS000 0.212121
, , Fc 1
que que PR0CN000 0.648953
puedan poder VMSP3P0 0.916667
acorrer acorrer VMN0000 1
a a SPS00 0.956937
los el DA0MP0 0.964169
que que PR0CN000 0.648953
estan estar VAIP3P0 1
en en SPS00 1
az haz NCMS000 0.212121
, , Fc 1
do donde PR000000 0.984536
vieren ver VMSF3P0 1
que que PR0CN000 0.648953
faze hacer VMIP3S0 1
mas más RG 0.654277
menester menester NCMS000 1
. . Fp 1

E e CC 1
ençima encima RG 1
los el DA0MP0 0.964169
cabdillos caudillo NCMP000 1
tres 3 Z 0.280029
cosas cosa NCFP000 1
deuen deber VMIP3P0 1
fazer hacer VMN0000 1
en en SPS00 1
las el DA0FP0 0.860393
azes haz NCMP000 0.755253
. . Fp 1

Lo el DA0NS0 0.30297
primero 1 AO0MS0 0.73057
, , Fc 1
ordenarlas ordenar+lo VMN0000+PP3FPA00 1
muy muy RG 1
bien bien RG 0.963887
, , Fc 1
e e CC 1
en en SPS00 1
forma forma NCFS000 0.972603
redonda redondo AQ0FS0 0.366391
, , Fc 1
o o CC 0.99692
en en SPS00 1
forma forma NCFS000 0.972603
tyseral tyseral AQ0CS00 1
, , Fc 1
segunt según SPS00 0.990196
que que CS 0.351047
vieren ver VMSF3P0 1
que que CS 0.351047
y y CC 0.819361
cunple cumplir VMM02S0 1
. . Fp 1

Lo el DA0NS0 0.30297
segundo 2 AO0MS0 1
, , Fc 1
deue deber VMIP3S0 0.993174
poner poner VMN0000 1
los el DA0MP0 0.964169
mejores mejor AQ0CP0 0.96875
lidiadores lidiador NCMP000 1
alli allí RG 1
do donde PR000000 0.984536
vieren ver VMSF3P0 1
que que PR0CN000 0.648953
son ser VSIP3P0 0.987239
mas más RG 0.654277
menester menester NCMS000 1
en en SPS00 1
las el DA0FP0 0.860393
azes haz NCMP000 0.755253
. . Fp 1

Lo el DA0NS0 0.30297
terçero 3 AO0MS0 0.5
, , Fc 1
deuen deber VMIP3P0 1
poner poner VMN0000 1
fuera fuera RG 0.630682
de de SPS00 0.999758
los el DA0MP0 0.964169
otros otro DI0MP0 0.652439
algunos alguno DI0MP0 0.68018
rezios recio AQ0MP0 1
e e CC 1
fuertes fuerte AQ0CP0 1
e e CC 1
muy muy RG 1
atreuidos atrevido AQ0MP0 0.75
caualleros caballero NCMP000 0.954545
, , Fc 1
que que PR0CN000 0.648953
puedan poder VMSP3P0 0.916667
acorrer acorrer VMN0000 1
aquella aquel DD0FS0 0.704678
parte parte NCFS000 0.467611
del del_de+del_el SP+DA 0.5
az haz NCMS000 0.212121
, , Fc 1
que que PR0CN000 0.648953
mas más RG 0.654277
falleçiere fallecer VMSF3S0 1
o o CC 0.99692
mas más RG 0.654277
menester menester NCMS000 1
lo lo PP3CNa00 0.348232
ouieren haber VMSF3P0 0.5
. . Fp 1

Mas mas CC 0.345275
aqui aquí RG 1
conviene convenir VMIP3S0 1
de de SPS00 0.999758
notar notar VMN0000 1
que que CS 0.351047
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
cabdillos caudillo NCMP000 1
antes antes RG 1
que que CS 0.351047
entren entrar VMSP3P0 0.970833
en en SPS00 1
las el DA0FP0 0.860393
faziendas facienda NCFP000 0.755263
deuen deber VMIP3P0 1
amonestar amonestar VMN0000 1
e e CC 1
pedricar predicar VMN0000 1
a a SPS00 0.956937
sus su DP3CP0 1
caualleros caballero NCMP000 0.954545
, , Fc 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
dize decir VMIP3S0 1
Vejeçio vegecio NP000P0 1
, , Fc 1
e e CC 1
deuenles deber+le VMIP3P0+PP3CPD00 1
prometer prometer VMN0000 1
mucho mucho RG 0.930013
bien bien RG 0.963887
, , Fc 1
e e CC 1
mucha mucho DI0FS0 0.97619
merçet merced NCFS000 1
si si CS 0.944444
fueren ser VSSF3P0 0.980769
tales tal PD0CP000 0.723214
quales cuál PT0CP000 1
deuen deber VMIP3P0 1
ser ser VSN0000 0.969613
; ; Fx 1
aquel aquel DD0MS0 0.849576
dia día NCMS000 1
deuen deber VMIP3P0 1
armar armar VMN0000 1
caualleros caballero NCMP000 0.954545
e e CC 1
fazerles hacer+le VMN0000+PP3CPD00 1
graçias gracia NCFP000 1
, , Fc 1
e e CC 1
darlos dar+lo VMN0000+PP3MPA00 1
tierras tierra NCFP000 1
e e CC 1
dineros dinero NCMP000 1
, , Fc 1
e e CC 1
efforçarlos efforçarlos NCMP000 0.739729
en en SPS00 1
todas todo DI0FP0 0.958167
las el DA0FP0 0.860393
maneras manera NCFP000 1
que que PR0CN000 0.648953
se saber VMIP1S0 0.763441
pueden poder VMIP3P0 1
efforçar efforçar VMN0000 1
, , Fc 1
alegandoles alegar+le VMG0000+PP3CPD00 1
quan cuan RG 1
buenos bueno AQ0MP0 1
fueron ser VSIS3P0 0.938596
sus su DP3CP0 1
padres padre NCMP000 1
e e CC 1
sus su DP3CP0 1
abuelos abuelo NCMP000 1
por por SPS00 1
que que PR0CN000 0.648953
punen punir VMIP3P0 1
sienpre siempre RG 1
por por SPS00 1
semejar semejar VMN0000 1
a a SPS00 0.956937
los el DA0MP0 0.964169
buenos bueno AQ0MP0 1
. . Fp 1

Mas mas CC 0.345275
aqui aquí RG 1
pareçe parecer VMIP3S0 0.913505
una uno DI0FS0 0.763441
dubda duda NCFS000 0.916667
, , Fc 1
si si CS 0.944444
los el DA0MP0 0.964169
caualleros caballero NCMP000 0.954545
cristianos cristiano AQ0MP0 0.475482
deuen deber VMIP3P0 1
lidiar lidiar VMN0000 1
con con SPS00 1
sus su DP3CP0 1
señores señor NCMP000 1
o o CC 0.99692
sin sin SPS00 1
ellos ellos PP3MP000 1
con con SPS00 1
los el DA0MP0 0.964169
enemigos enemigo NCMP000 0.65625
de de SPS00 0.999758
la el DA0FS0 0.897854
fe fe NCFS000 1
contra contra SPS00 0.982979
los el DA0MP0 0.964169
cristianos cristiano NCMP000 0.524518
, , Fc 1
e e CC 1
si si CS 0.944444
les le PP3CPD00 1
conviene convenir VMIP3S0 1
de de SPS00 0.999758
reçebir recibir VMN0000 1
soldada soldada NCFS000 0.916667
de de SPS00 0.999758
los el DA0MP0 0.964169
prinçipes príncipe NCMP000 1
gentiles gentil AQ0CP0 0.65625
para para SPS00 0.988789
lidiar lidiar VMN0000 1
contra contra SPS00 0.982979
la el DA0FS0 0.897854
fe fe NCFS000 1
con con SPS00 1
ellos ellos PP3MP000 1
. . Fp 1

Et et CC 1
aqui aquí RG 1
podemos poder VMIP1P0 1
dezir decir VMN0000 0.993421
que que CS 0.351047
a a SPS00 0.956937
ningunt ninguno DI0MS0 1
cauallero caballero NCMS000 0.87037
cristiano cristiano AQ0MS0 0.916667
non no RN 0.99968
conviene convenir VMIP3S0 1
de de SPS00 0.999758
se saber VMIP1S0 0.763441
obligar obligar VMN0000 1
a a SPS00 0.956937
ningunt ninguno DI0MS0 1
señor señor NCMS000 0.996183
gentyl gentil AQ0CS0 0.523416
, , Fc 1
mayormente mayormente RG 1
si si CS 0.944444
entiende entender VMIP3S0 0.916667
de de SPS00 0.999758
lidiar lidiar VMN0000 1
contra contra SPS00 0.982979
los el DA0MP0 0.964169
cristianos cristiano NCMP000 0.524518
o o CC 0.99692
contra contra SPS00 0.982979
la el DA0FS0 0.897854
fe fe NCFS000 1
. . Fp 1

Mas mas CC 0.345275
do donde PR000000 0.984536
el el DA0MS0 0.880831
señor señor NCMS000 0.996183
non no RN 0.99968
entiende entender VMIP3S0 0.916667
de de SPS00 0.999758
venir venir VMN0000 1
contra contra SPS00 0.982979
la el DA0FS0 0.897854
fe fe NCFS000 1
, , Fc 1
bien bien RG 0.963887
pueden poder VMIP3P0 1
los el DA0MP0 0.964169
caualleros caballero NCMP000 0.954545
cristianos cristiano AQ0MP0 0.475482
obligarse obligar+se VMN0000+PP3CN000 1
a a SPS00 0.956937
reçebir recibir VMN0000 1
caualleria caballería NCFS000 1
de de SPS00 0.999758
señores señor NCMP000 1
gentiles gentil AQ0CP0 0.65625
, , Fc 1
o o CC 0.99692
de de SPS00 0.999758
tales tal PD0CP000 0.723214
señores señor NCMP000 1
que que PR0CN000 0.648953
non no RN 0.99968
son ser VSIP3P0 0.987239
cristianos cristiano AQ0MP0 0.475482
, , Fc 1
e e CC 1
servirlos servir+lo VMN0000+PP3MPA00 1
de de SPS00 0.999758
su su DP3CS0 1
ofiçio oficio NCMS000 0.337326
en en SPS00 1
todas todo DI0FP0 0.958167
aquellas aquel DD0FP0 0.5
cosas cosa NCFP000 1
que que PR0CN000 0.648953
non no RN 0.99968
son ser VSIP3P0 0.987239
contra contra SPS00 0.982979
Dios dios NCMS000 0.999067
nin ni CC 1
contra contra SPS00 0.982979
la el DA0FS0 0.897854
Ley ley NCFS000 0.954373
. . Fp 1

Et et CC 1
desto desto_de+desto_este SP+PD 1
ay ahí RG 0.451327
muy muy RG 1
buenos bueno AQ0MP0 1
enxenplos ejemplo NCMP000 1
. . Fp 1

Et et CC 1
el el DA0MS0 0.880831
primero 1 AO0MS0 0.73057
, , Fc 1
de de SPS00 0.999758
los el DA0MP0 0.964169
Macabeos macabeo NCMP000 1
, , Fc 1
que que PR0CN000 0.648953
lidiaron lidiar VMIS3P0 1
muy muy RG 1
brauamente brauamente RG 0.5
por por SPS00 1
la el DA0FS0 0.897854
Ley ley NCFS000 0.954373
, , Fc 1
et et CC 1
quando cuándo PT000000 1
se saber VMIP1S0 0.763441
tornaron tornar VMIS3P0 1
muchos mucho DI0MP0 0.876506
de de SPS00 0.999758
los el DA0MP0 0.964169
Judios judío NCMP000 0.633609
a a SPS00 0.956937
los el DA0MP0 0.964169
gentiles gentil NCCP000 0.34375
, , Fc 1
Macauas macauas NCFP000 0.79168
con con SPS00 1
sus su DP3CP0 1
fijos hijo NCMP000 1
se ser VSM02S0 0.225806
leuanto levantar VMIS3S0 0.65
contra contra SPS00 0.982979
ellos ellos PP3MP000 1
, , Fc 1
e e CC 1
mato matar VMIS3S0 0.649995
muchos mucho PI0MP000 0.123494
dellos dellos_de+dellos_el SP+DA 0.5
por por SPS00 1
ello ello PP3NS000 0.506929
, , Fc 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
cuenta contar VMIP3S0 0.594771
en en SPS00 1
el el DA0MS0 0.880831
primer 1 AO0MS0 0.477273
libro libro NCMS000 0.993994
de de SPS00 0.999758
los el DA0MP0 0.964169
Macabeos macabeo NCMP000 1
. . Fp 1

E e CC 1
despues después RG 1
desto desto_de+desto_este SP+PD 1
dixo decir VMIS3S0 1
: : Fd 1
todos todo DI0MP0 0.769608
aquellos aquel PD0MP000 0.65411
que que PR0CN000 0.648953
me me PP1CS000 1
queredes querer VMIP2P0 1
, , Fc 1
segyr segyr VMN0000 1
e e CC 1
guardar guardar VMN0000 1
la el DA0FS0 0.897854
ley ley NCFS000 0.954373
, , Fc 1
venit venir VMM02P0 1
comigo conmigo PP1CSO00 1
, , Fc 1
e e CC 1
fuyamos huir VMSP1P0 1
a a SPS00 0.956937
los el DA0MP0 0.964169
montes monte NCMP000 0.85
, , Fc 1
e e CC 1
lidiemos lidiar VMSP1P0 0.8959
contra contra SPS00 0.982979
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
omnes hombre NCMP000 1
del del_de+del_el SP+DA 0.5
mundo mundo NCMS000 1
por por SPS00 1
el el DA0MS0 0.880831
Testamento testamento NCMS000 1
santo santo AQ0MS0 0.87037
de de SPS00 0.999758
nuestros nuestro DP1MPP 0.97619
padres padre NCMP000 1
. . Fp 1

E e CC 1
estando estar VAG0000 1
en en SPS00 1
el el DA0MS0 0.880831
monte monte NCMS000 0.885714
de de SPS00 0.999758
Media medio PI0FS000 0.0943545
, , Fc 1
acometyo acometer VMIS3S0 1
muchas mucho DI0FP0 0.836538
lides lid NCMP000 1
contra contra SPS00 0.982979
los el DA0MP0 0.964169
gentiles gentil NCCP000 0.34375
e e CC 1
contra contra SPS00 0.982979
los el DA0MP0 0.964169
judios judío NCMP000 0.633609
, , Fc 1
e e CC 1
vençiolos vencer+lo VMIS3S0+PP3MPA00 1
todos todo DI0MP0 0.769608
estos este DD0MP0 0.866379
caualleros caballero NCMP000 0.954545
que que PR0CN000 0.648953
con con SPS00 1
el él PP3MS000 0.119169
fueron ser VSIS3P0 0.938596
, , Fc 1
e e CC 1
Judas judas NP000P0 0.386884
, , Fc 1
su su DP3CS0 1
fijo hijo NCMS000 1
con con SPS00 1
Eleazar eleazar NP000P0 1
, , Fc 1
e e CC 1
Jonatas jonatán NP000P0 1
, , Fc 1
e e CC 1
con con SPS00 1
los el DA0MP0 0.964169
otros otro PI0MP000 0.347561
fueron ser VSIS3P0 0.938596
los el DA0MP0 0.964169
mas más RG 0.654277
brauos bravo AQ0MP0 1
caualleros caballero NCMP000 0.954545
, , Fc 1
et et CC 1
mas más RG 0.654277
auenturados aventurado AQ0MP0 0.75
que que CS 0.351047
nunca nunca RG 1
fueron ser VSIS3P0 0.938596
en en SPS00 1
el el DA0MS0 0.880831
mundo mundo NCMS000 1
; ; Fx 1
e e CC 1
de de SPS00 0.999758
las el DA0FP0 0.860393
faziendas facienda NCFP000 0.755263
que que PR0CN000 0.648953
ellos ellos PP3MP000 1
vençieron vencer VMIS3P0 1
, , Fc 1
e e CC 1
de de SPS00 0.999758
los el DA0MP0 0.964169
reyes rey NCMP000 1
que que PR0CN000 0.648953
mataron matar VMIS3P0 1
e e CC 1
sojudgaron sojudgaron VMIS3P0 1
cuentalo contar+lo VMIP3S0+PP3CNa00 0.457338 contar+lo VMIP3S0+PP3MSa00 0.457338
primeramente primeramente RG 1
en en SPS00 1
el el DA0MS0 0.880831
primero 1 AO0MS0 0.73057
e e CC 1
en en SPS00 1
el el DA0MS0 0.880831
segundo 2 AO0MS0 1
libro libro NCMS000 0.993994
de de SPS00 0.999758
los el DA0MP0 0.964169
Macabeos macabeo NCMP000 1
. . Fp 1

E e CC 1
todas todo DI0FP0 0.958167
estas este DD0FP0 0.776824
buenas bueno AQ0FP0 1
venturas ventura NCFP000 1
alcançaron alcanzar VMIS3P0 1
porque porque CS 0.996454
lidiaron lidiar VMIS3P0 1
por por SPS00 1
la el DA0FS0 0.897854
fe fe NCFS000 1
. . Fp 1

Et et CC 1
el el DA0MS0 0.880831
segundo 2 AO0MS0 1
enxenplo ejemplo NCMS000 1
es ser VSIP3S0 1
de de SPS00 0.999758
los el DA0MP0 0.964169
siete 7 Z 0.5
hermanos hermano NCMP000 1
caualleros caballero NCMP000 0.954545
, , Fc 1
fijos hijo NCMP000 1
de de SPS00 0.999758
santa santo AQ0FS0 0.930464
Filiçida filiçida NCFS000 0.590809
, , Fc 1
que que PR0CN000 0.648953
lidiaron lidiar VMIS3P0 1
por por SPS00 1
el el DA0MS0 0.880831
Testamento testamento NCMS000 1
; ; Fx 1
e e CC 1
magera maguer CS 1
los lo PP3MPA00 0.0355791
mataron matar VMIS3P0 1
los el DA0MP0 0.964169
gentiles gentil NCCP000 0.34375
e e CC 1
les le PP3CPD00 1
dieron dar VMIS3P0 1
penas penar VMIP2S0 0.916667
muy muy RG 1
fuertes fuerte AQ0CP0 1
ante ante SPS00 0.378016
su su DP3CS0 1
madre madre NCFS000 1
, , Fc 1
por por SPS00 1
la el DA0FS0 0.897854
qual cuál DT0CS0 1
cosa cosa NCFS000 1
ellos ellos PP3MP000 1
fueron ser VSIS3P0 0.938596
martires mártir NCCP000 1
e e CC 1
gloriosos glorioso AQ0MP0 1
, , Fc 1
e e CC 1
les le PP3CPD00 1
fizo hacer VMIS3S0 1
la el DA0FS0 0.897854
Eglesia iglesia NCFS000 1
grant grande AQ0CS0 1
fiesta fiesta NCFS000 1
, , Fc 1
enpero empero CC 1
non no RN 0.99968
fueron ser VSIS3P0 0.938596
menos menos RG 1
vençedores vencedor AQ0MP0 0.430648
muriendo morir VMG0000 1
que que CS 0.351047
si si CS 0.944444
vençieran vencer VMSI3P0 1
lidiando lidiar VMG0000 1
, , Fc 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
dize decir VMIP3S0 1
sant santo NCMS000 0.60989
Agostin agustín NP000P0 1
en en SPS00 1
el el DA0MS0 0.880831
sermon sermón NCMS000 1
que que PR0CN000 0.648953
faze hacer VMIP3S0 1
dellos dellos_de+dellos_el SP+DA 0.5
do donde PR000000 0.984536
dize decir VMIP3S0 1
que que CS 0.351047
esta este DD0FS0 0.817376
santa santo AQ0FS0 0.930464
muger mujer NCFS000 1
madre madre NCFS000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
siete 7 Z 0.5
fijos hijo NCMP000 1
auia haber VMII3S0 1
coraçon corazón NCMS000 1
de de SPS00 0.999758
omnes hombre NCMP000 1
virtuosos virtuoso AQ0MP0 0.96875
, , Fc 1
e e CC 1
amonestaua amonestar VMII3S0 0.64999
a a SPS00 0.956937
sus su DP3CP0 1
fijos hijo NCMP000 1
que que PR0CN000 0.648953
muriesen morir VMSI3P0 1
reziamente reziamente RG 1
por por SPS00 1
la el DA0FS0 0.897854
fe fe NCFS000 1
, , Fc 1
e e CC 1
dize decir VMIP3S0 1
que que CS 0.351047
ella él PP3FS000 1
non no RN 0.99968
los el DA0MP0 0.964169
cuydaua cuidar VMII1S0 0.5
perder perder VMN0000 1
, , Fc 1
mas más RG 0.654277
querialos querer+lo VMII1S0+PP3MPA00 0.5
enbiar enviar VMN0000 1
ante antes RG 0.619303
sy si CS 0.871981
, , Fc 1
e e CC 1
dize decir VMIP3S0 1
mas más RG 0.654277
que que CS 0.351047
esta este DD0FS0 0.817376
muger mujer NCFS000 1
fue ser VSIS3S0 0.93672
contraria contrario AQ0FS0 0.875
a a SPS00 0.956937
las el DA0FP0 0.860393
otras otro DI0FP0 0.698675
madres madre NCFP000 1
que que PR0CN000 0.648953
querian querer VMII3P0 1
ellas ellos PP3FP000 1
ante ante SPS00 0.378016
yr ir VMN0000 1
deste deste_de+deste_este SP+DD 1
mundo mundo NCMS000 1
que que CS 0.351047
non no RN 0.99968
sus su DP3CP0 1
fijos hijo NCMP000 1
. . Fp 1

E e CC 1
esta este PD0FS000 0.143617
quiso querer VMIS3S0 1
que que CS 0.351047
ellos ellos PP3MP000 1
fuesen ser VSSI3P0 0.954545
delante delante RG 1
, , Fc 1
e e CC 1
ella él PP3FS000 1
en en SPS00 1
pos pos SPS00 1
dellos dellos_de+dellos_el SP+DA 0.5
. . Fp 1

Et et CC 1
el el DA0MS0 0.880831
tercero 3 AO0MS0 0.980769
enxenplo ejemplo NCMS000 1
es ser VSIP3S0 1
de de SPS00 0.999758
los el DA0MP0 0.964169
Tebeos tebeo NCMP000 0.633591
que que PR0CN000 0.648953
fueron ser VSIS3P0 0.938596
seys seis NCMS000 0.628442
mill mil AQ0MS0 0.5
e e CC 1
seysçientos 600 AQ0MP0 0.666391
e e CC 1
seys seis AQ0MS0 0.371558
que que PR0CN000 0.648953
fueron ser VSIS3P0 0.938596
llamados llamar VMPS0PM 0.954545
de de SPS00 0.999758
los el DA0MP0 0.964169
enperadores emperador NCMP000 1
Diocleciano diocleciano NP000P0 1
e e CC 1
Maximo máximo AQ0MS0 0.366394
, , Fc 1
e e CC 1
ellos ellos PP3MP000 1
vinieron venir VMIS3P0 1
de de SPS00 0.999758
oriente oriente NCMS000 1
caualleros caballero NCMP000 0.954545
muy muy RG 1
rezios recio AQ0MP0 1
e e CC 1
muy muy RG 1
fuertes fuerte AQ0CP0 1
, , Fc 1
e e CC 1
quando cuándo PT000000 1
les le PP3CPD00 1
mandaron mandar VMIS3P0 1
los el DA0MP0 0.964169
enperadores emperador NCMP000 1
que que PR0CN000 0.648953
fuesen ser VSSI3P0 0.954545
a a SPS00 0.956937
persegir perseguir VMN0000 1
los el DA0MP0 0.964169
cristianos cristiano NCMP000 0.524518
, , Fc 1
dixo decir VMIS3S0 1
sant santo NCMS000 0.60989
Mauriçio mauricio NP000P0 1
que que PR0CN000 0.648953
era ser VSII1S0 0.483357
cabdillo caudillo NCMS000 1
cauallero caballero NCMS000 0.87037
de de SPS00 0.999758
aquella aquel DD0FS0 0.704678
santa santo AQ0FS0 0.930464
caualleria caballería NCFS000 1
que que PR0CN000 0.648953
en en SPS00 1
cosa cosa NCFS000 1
de de SPS00 0.999758
tan tan RG 1
grant grande AQ0CS0 1
sacrillejo sacrilegio NCMS000 1
, , Fc 1
que que PR0CN000 0.648953
nunca nunca RG 1
auia haber VMII3S0 1
de de SPS00 0.999758
consentyr consentir VMN0000 1
el el DA0MS0 0.880831
nin ni CC 1
los el DA0MP0 0.964169
suyos suyo PX3MP000 1
, , Fc 1
que que CS 0.351047
magera maguer CS 1
ellos ellos PP3MP000 1
fuesen ser VSSI3P0 0.954545
sus su DP3CP0 1
vasallos vasallo NCMP000 0.633484
e e CC 1
les le PP3CPD00 1
ouiesen haber VMSI3P0 0.8
de de SPS00 0.999758
guardar guardar VMN0000 1
fialdat fieldad NCFS000 1
, , Fc 1
enpero empero CC 1
mas más RG 0.654277
tenudos tener VMPS0PM 1
eran ser VSII3P0 1
de de SPS00 0.999758
guardar guardar VMN0000 1
fieldat fieldad NCFS000 1
a a SPS00 0.956937
Dios dios NCMS000 0.999067
que que PR0CN000 0.648953
a a SPS00 0.956937
ellos ellos PP3MP000 1
. . Fp 1

E e CC 1
en en SPS00 1
todas todo DI0FP0 0.958167
las el DA0FP0 0.860393
otras otro DI0FP0 0.698675
cosas cosa NCFP000 1
que que PR0CN000 0.648953
les le PP3CPD00 1
mandasen mandar VMSI3P0 1
, , Fc 1
que que PR0CN000 0.648953
non no RN 0.99968
fuesen ser VSSI3P0 0.954545
contra contra SPS00 0.982979
Dios dios NCMS000 0.999067
, , Fc 1
lidiarian lidiar VMIC3P0 1
como como CS 0.953008
caualleros caballero NCMP000 0.954545
, , Fc 1
mas más RG 0.654277
que que CS 0.351047
en en SPS00 1
esto este PD0NS000 0.983631
non no RN 0.99968
lo lo PP3CNa00 0.348232
auian haber VMII3P0 0.5
de de SPS00 0.999758
fazer hacer VMN0000 1
, , Fc 1
ca ca CS 0.982082
eran ser VSII3P0 1
cristianos cristiano NCMP000 0.524518
verdaderos verdadero AQ0MP0 1
, , Fc 1
e e CC 1
non no RN 0.99968
podian poder VMII3P0 1
lidiar lidiar VMN0000 1
en en SPS00 1
ninguna ninguno DI0FS0 0.990196
manera manera NCFS000 1
contra contra SPS00 0.982979
su su DP3CS0 1
fe fe NCFS000 1
; ; Fx 1
e e CC 1
mandaron mandar VMIS3P0 1
los el DA0MP0 0.964169
enperadores emperador NCMP000 1
que que PR0CN000 0.648953
matasen matar VMSI3P0 1
el el DA0MS0 0.880831
diezmo diezmo NCMS000 1
dellos dellos_de+dellos_el SP+DA 0.5
que que PR0CN000 0.648953
estauan estar VAII3P0 1
armados armar VMPS0PM 1
en en SPS00 1
az haz NCMS000 0.212121
, , Fc 1
e e CC 1
los el DA0MP0 0.964169
