Capitulo capítulo NCMS000 1
le le PP3CSD00 1
fagas hacer VMSP2S0 1
andar andar VMN0000 0.916667
e e CC 1
vna uno DI0FS0 0.862903
bolsa bolsa NCFS000 1
en en SPS00 1
que que PR0CN000 0.648953
lo lo PP3CNa00 0.348232
metas meter VMSP2S0 0.150003
. . Fp 1

E e CC 1
esto este PD0NS000 0.983631
te te PP2CS000 1
sera ser VSIF3S0 0.989071
solaz solaz NCMS000 1
enel enel_en+enel_el SP+DA 0.5
camino camino NCMS000 0.441713
por por SPS00 1
do donde PR000000 0.984536
tu tú PP2CSN00 0.657104
has haber VMIP2S0 0.819579
a a SPS00 0.956937
torrnar tornar VMN0000 1
. . Fp 1

Mas más RG 0.654277
si si CS 0.944444
tamaña tamaño AQ0FS0 1
locura locura NCFS000 1
tomas tomás NP000P0 0.218863
contigo contigo PP2CSO00 1
que que PR0CN000 0.648953
quieras querer VMSP2S0 1
dar dar VMN0000 1
guerra guerra NCFS000 1
a a SPS00 0.956937
quien quien PR0CS000 1
quiere querer VMIP3S0 0.983871
paz paz NCFS000 1
e e CC 1
quieras querer VMSP2S0 1
fazer hacer VMN0000 1
enemigo enemigo NCMS000 0.916667
de de SPS00 0.999758
aquel aquel DD0MS0 0.849576
que que PR0CN000 0.648953
te te PP2CS000 1
seria ser VSIC1S0 0.497758
amigo amigo NCMS000 0.987805
. . Fp 1

yo yo PP1CSN00 1
non no RN 0.99968
te te PP2CS000 1
enbiare enviar VMSF1S0 0.222963
caualleros caballero NCMP000 0.954545
mas mas CC 0.345275
enbiarte enviar+te VMN0000+PP2CS000 1
he haber VAIP1S0 0.720779
sieruos siervo NCMP000 1
muy muy RG 1
sañudos sañudo AQ0MP0 1
que que PR0CN000 0.648953
te te PP2CS000 1
atormenten atormentar VMSP3P0 0.970833
e e CC 1
te te PP2CS000 1
castiguen castigar VMSP3P0 0.970833
con con SPS00 1
muchos mucho DI0MP0 0.876506
açotes azote NCMP000 1
que que PR0CN000 0.648953
te te PP2CS000 1
metan meter VMSP3P0 0.970833
muerto morir VMPS0SM 0.96875
. . Fp 1

E e CC 1
alli allí RG 1
alexandre alejandro NP000P0 1
vista vestir VMSP1S0 0.0181818
esta este DD0FS0 0.817376
carta carta NCFS000 1
començo comenzar VMIS3S0 0.181337
a a SPS00 0.956937
bramar bramar VMN0000 1
muy muy RG 1
fuertemente fuertemente RG 1
. . Fp 1

E e CC 1
respondio responder VMIS3S0 1
luego luego RG 0.905405
a a SPS00 0.956937
los el DA0MP0 0.964169
mensageros mensajero NCMP000 0.333794
de de SPS00 0.999758
dario darío NP000P0 1
e e CC 1
dixo decir VMIS3S0 1
asi así RG 1
yo yo PP1CSN00 1
so ser VSIP1S0 0.426056
meior mejor AQ0CS0 0.738095
declarador declarador NCMS000 0.633609
desta desta_de+desta_este SP+DD 1
carta carta NCFS000 1
e e CC 1
muestro mostrar VMIS3S0 0.65
lo el DA0NS0 0.30297
que que PR0CN000 0.648953
quieren querer VMIP3P0 1
dezir decir VMN0000 0.993421
los el DA0MP0 0.964169
dones don NCMP000 0.5
de de SPS00 0.999758
vuestro vuestro DP2MSP 0.993827
rey rey NCMS000 1
. . Fp 1

la el DA0FS0 0.897854
forma forma NCFS000 0.972603
del del_de+del_el SP+DA 0.5
tronpo tronpo NCMS000 1
que que PR0CN000 0.648953
es ser VSIP3S0 1
redonda redondo AQ0FS0 0.366391
muestra mostrar VMM02S0 0.13253
la el DA0FS0 0.897854
semeiança semejanza NCFS000 1
del del_de+del_el SP+DA 0.5
mundo mundo NCMS000 1
que que PR0CN000 0.648953
es ser VSIP3S0 1
redonda redondo AQ0FS0 0.366391
. . Fp 1

el el DA0MS0 0.880831
qual cuál DT0CS0 1
mundo mundo NCMS000 1
yo yo PP1CSN00 1
porrne poner VMIF1S0 1
so so SPS00 0.355634
los el DA0MP0 0.964169
mis mi DP1CPS 0.986111
pies pie NCMP000 1
. . Fp 1

E e CC 1
los el DA0MP0 0.964169
açotes azote NCMP000 1
muestran mostrar VMIP3P0 1
las el DA0FP0 0.860393
riendas rienda NCFP000 1
con con SPS00 1
que que PR0CN000 0.648953
yo yo PP1CSN00 1
açotare azotar VMSF1S0 0.222963
a a SPS00 0.956937
todas todo DI0FP0 0.958167
persia persia NP000G0 1
e e CC 1
a a SPS00 0.956937
los el DA0MP0 0.964169
que que PR0CN000 0.648953
son ser VSIP3P0 0.987239
en en SPS00 1
ella él PP3FS000 1
. . Fp 1

E e CC 1
la el DA0FS0 0.897854
bolsa bolsa NCFS000 1
que que PR0CN000 0.648953
me me PP1CS000 1
enbio enviar VMIS3S0 1
muestra mostrar VMM02S0 0.13253
que que CS 0.351047
yo yo PP1CSN00 1
tomare tomar VMSF1S0 0.222963
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
thesoros tesoro NCMP000 1
de de SPS00 0.999758
dario darío NP000P0 1
. . Fp 1

los el DA0MP0 0.964169
quales cuál PT0CP000 1
mandare mandar VMIF1S0 0.554074
guardar guardar VMN0000 1
en en SPS00 1
la el DA0FS0 0.897854
bolsa bolsa NCFS000 1
que que PR0CN000 0.648953
me me PP1CS000 1
enbio enviar VMIS3S0 1
. . Fp 1

E e CC 1
alli allí RG 1
mando mandar VMIP1S0 0.496933
luego luego CS 0.0945946
sellar sellar VMN0000 1
esta este DD0FS0 0.817376
carta carta NCFS000 1
e e CC 1
enbiola enviar+lo VMIS3S0+PP3FSA00 1
con con SPS00 1
los el DA0MP0 0.964169
mensaieros mensajero NCMP000 0.333794
a a SPS00 0.956937
dario darío NP000P0 1
e e CC 1
dio dar VMIS3S0 1
muy muy RG 1
grandes grande AQ0CP0 0.996795
algos algo NCMP000 1
a a SPS00 0.956937
los el DA0MP0 0.964169
mensaieros mensajero NCMP000 0.333794
e e CC 1
asi así RG 1
los lo PP3MPA00 0.0355791
enbio enviar VMIS3S0 1
E e CC 1
quando cuándo PT000000 1
resçibio recibir VMIS3S0 1
dario darío NP000P0 1
esta este DD0FS0 0.817376
carta carta NCFS000 1
tomo tomar VMIP1S0 0.496933
muy muy RG 1
grant grande AQ0CS0 1
pesar pesar NCMS000 0.708333
e e CC 1
ouo haber VAIS3S0 1
muy muy RG 1
grant grande AQ0CS0 1
miedo miedo NCMS000 1
e e CC 1
mando mandar VMIP1S0 0.496933
a a SPS00 0.956937
meño meño NCMS000 1
prinçipe príncipe NCMS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
caualleria caballería NCFS000 1
que que PR0CN000 0.648953
saliese salir VMSI3S0 0.614288
al al_a+al_el SP+DA 0.915677
camino camino NCMS000 0.441713
a a SPS00 0.956937
alexandre alejandro NP000P0 1
con con SPS00 1
seysçientas seiscientos AQ0FP0 1
vezes vez NCFP000 1
mill mil AQ0MS0 0.5
caualleros caballero NCMP000 0.954545
. . Fp 1

los el DA0MP0 0.964169
quales cuál PT0CP000 1
desbarato desbaratar VMIS3S0 0.649995
e e CC 1
mato matar VMIS3S0 0.649995
alexandre alejandro NP000P0 1
maguera maguer CS 1
que que CS 0.351047
touiesse tener VMSI3S0 0.65
menos menos RG 1
caualleros caballero NCMP000 0.954545
mas mas CC 0.345275
mas más RG 0.654277
armados armar VMPS0PM 1
e e CC 1
mas más RG 0.654277
aprouados aprobar VMPS0PM 1
en en SPS00 1
armas arma NCFP000 0.987805
. . Fp 1

E e CC 1
dende dende RG 0.65
adelante adelante RG 0.924242
entro entrar VMIS3S0 0.475
por por SPS00 1
fuerça fuerza NCFS000 0.96875
en en SPS00 1
los el DA0MP0 0.964169
palaçios palacio NCMP000 1
de de SPS00 0.999758
mjdas midas NP000P0 0.288544
a a SPS00 0.956937
los el DA0MP0 0.964169
quales cuál PT0CP000 1
palaçios palacio NCMP000 1
llamauan llamar VMII3P0 1
los el DA0MP0 0.964169
antiguos antiguo AQ0MP0 1
gardian gardian VMII3P0 1
e e CC 1
los el DA0MP0 0.964169
de de SPS00 0.999758
agora ahora RG 1
llamanlos llamar+lo VMIP3P0+PP3MPA00 1
sardin sardin NCMS000 1
. . Fp 1

E e CC 1
alli allí RG 1
estouo estar VAIS3S0 1
el el DA0MS0 0.880831
tenplo templo NCMS000 0.968254
de de SPS00 0.999758
Jupiter júpiter NP000G0 0.5
e e CC 1
los el DA0MP0 0.964169
caros caro AQ0MP0 1
de de SPS00 0.999758
oro oro NCMS000 0.968254
de de SPS00 0.999758
don don NCMS000 1
Jupiter júpiter NP000G0 0.5
en en SPS00 1
los el DA0MP0 0.964169
quales cuál PT0CP000 1
estaua estar VAII3S0 1
vn uno DI0MS0 0.965785
lazo lazo NCMS000 1
tan tan RG 1
estraño extraño AQ0MS0 0.366391
que que CS 0.351047
non no RN 0.99968
auia haber VMII3S0 1
ome hombre NCMS000 1
enel enel_en+enel_el SP+DA 0.5
mundo mundo NCMS000 1
que que PR0CN000 0.648953
lo lo PP3CNa00 0.348232
supiese saber VMSI1S0 0.65
soltar soltar VMN0000 1
. . Fp 1

E e CC 1
estaua estar VAII3S0 1
escripto escribir VMPS0SM 0.34375
de de SPS00 0.999758
suso suso RG 1
que que CS 0.351047
qualquier cualquiera DI0CS0 1
que que PR0CN000 0.648953
soltase soltar VMSI3S0 0.649989
aquel aquel DD0MS0 0.849576
lazo lazo NCMS000 1
que que PR0CN000 0.648953
seria ser VSIC1S0 0.497758
señor señor NCMS000 0.996183
de de SPS00 0.999758
toda todo DI0FS0 0.949029
asia asia NP000G0 1
. . Fp 1

E e CC 1
do donde PR000000 0.984536
esto este PD0NS000 0.983631
vio ver VMIS3S0 1
alexandre alejandro NP000P0 1
tomo tomar VMIP1S0 0.496933
cobdiçia codicia NCFS000 0.815423
de de SPS00 0.999758
ser ser VSN0000 0.969613
señor señor NCMS000 0.996183
de de SPS00 0.999758
asia asia NP000G0 1
. . Fp 1

E e CC 1
quando cuándo PT000000 1
vio ver VMIS3S0 1
que que CS 0.351047
non no RN 0.99968
lo lo PP3CNa00 0.348232
podia poder VMII3S0 0.65
soltar soltar VMN0000 1
de de SPS00 0.999758
otra otro DI0FS0 0.675439
guisa guisa NCFS000 0.988439
. . Fp 1

metio meter VMIS3S0 1
mano mano NCFS000 0.953125
al al_a+al_el SP+DA 0.915677
espada espada NCFS000 1
e e CC 1
cortolo cortar+lo VMIS3S0+PP3CNa00 0.295033 cortar+lo VMIS3S0+PP3MSa00 0.295033
e e CC 1
dixo decir VMIS3S0 1
a a SPS00 0.956937
sus su DP3CP0 1
caualleros caballero NCMP000 0.954545
amigos amigo NCMP000 0.954545
andat andar VMM02P0 1
que que CS 0.351047
nuestra nuestro DP1FSP 0.994792
es ser VSIP3S0 1
la el DA0FS0 0.897854
tierra tierra NCFS000 1
. . Fp 1

Ca ca CS 0.982082
asi así RG 1
lo lo PP3CNa00 0.348232
dizen decir VMIP3P0 1
los el DA0MP0 0.964169
fados hado NCMP000 1
. . Fp 1

E e CC 1
luego luego RG 0.905405
que que CS 0.351047
esto este PD0NS000 0.983631
ouo haber VAIS3S0 1
dicho decir VMPS0SM 0.994792
fuese ser VSSI1S0 0.480496
en en SPS00 1
pos pos SPS00 1
de de SPS00 0.999758
dario darío NP000P0 1
e e CC 1
andouo andar VMIS3S0 1
enpos empós RG 1
el el DA0MS0 0.880831
treynta treinta AQ0MS0 0.375802
leguas legua NCFP000 1
envndia envndia VMII3S0 1
cuydandolo cuidar+lo VMG0000+PP3CNa00 0.5 cuidar+lo VMG0000+PP3MSa00 0.5
alcançar alcanzar VMN0000 1
ante antes RG 0.619303
que que CS 0.351047
se saber VMIP1S0 0.763441
le le PP3CSD00 1
fuese ser VSSI1S0 0.480496
. . Fp 1

E e CC 1
yua ir VMII3S0 0.649997
por por SPS00 1
muy muy RG 1
fuertes fuerte AQ0CP0 1
caminos camino NCMP000 1
. . Fp 1

E e CC 1
quando cuándo PT000000 1
sopo saber VMIS3S0 1
dario darío NP000P0 1
que que PR0CN000 0.648953
yua ir VMII3S0 0.649997
en en SPS00 1
pos pos SPS00 1
elalço elalço NCMS000 0.714259
las el DA0FP0 0.860393
tiendas tienda NCFP000 0.85
de de SPS00 0.999758
alli allí RG 1
donde donde PR000000 0.987805
estaua estar VAII3S0 1
e e CC 1
fuese ser VSSI1S0 0.480496
para para SPS00 0.988789
los el DA0MP0 0.964169
canpos campo NCMP000 1
de de SPS00 0.999758
çilicia çilicia NCFS000 1
e e CC 1
alli allí RG 1
lo lo PP3CNa00 0.348232
espero esperar VMIP1S0 0.612242
e e CC 1
quando cuándo PT000000 1
vio ver VMIS3S0 1
que que CS 0.351047
alexandre alejandro NP000P0 1
allegaua allegar VMII3S0 0.65
a a SPS00 0.956937
los el DA0MP0 0.964169
puertos puerto NCMP000 1
de de SPS00 0.999758
çiliçia çiliçia NCFS000 1
enbiole enviar+le VMIS3S0+PP3CSD00 1
a a SPS00 0.956937
tomarle tomar+le VMN0000+PP3CSD00 1
los el DA0MP0 0.964169
puertos puerto NCMP000 1
. . Fp 1

mas mas CC 0.345275
alexandre alejandro NP000P0 1
veno venir VMIS3S0 1
primero primero RG 0.264249
e e CC 1
tomo tomar VMIP1S0 0.496933
las el DA0FP0 0.860393
entradas entrada NCFP000 0.539929
e e CC 1
alli allí RG 1
le le PP3CSD00 1
dio dar VMIS3S0 1
fazienda facienda NCFS000 0.512121
. . Fp 1

asi así RG 1
que que CS 0.351047
alli allí RG 1
lo lo PP3CNa00 0.348232
vençio vencer VMIS3S0 1
primeramente primeramente RG 1
e e CC 1
alli allí RG 1
le le PP3CSD00 1
priso prender VMIS3S0 1
la el DA0FS0 0.897854
madre madre NCFS000 1
e e CC 1
la el DA0FS0 0.897854
muger mujer NCFS000 1
e e CC 1
la el DA0FS0 0.897854
ermana hermano NCFS000 0.512121
e e CC 1
el el DA0MS0 0.880831
fijo hijo NCMS000 1
heredero heredero NCMS000 0.916667
que que PR0CN000 0.648953
auia haber VMII3S0 1
siete 7 Z 0.5
años año NCMP000 1
e e CC 1
traxolas traer+lo VMIS3S0+PP3FPA00 1
a a SPS00 0.956937
greçia grecia NP000G0 1
saluas salvo AQ0FP0 0.642857
de de SPS00 0.999758
sus su DP3CP0 1
cuerpos cuerpo NCMP000 1
e e CC 1
muy muy RG 1
honrradamente honrradamente RG 1
e e CC 1
tomo tomar VMIP1S0 0.496933
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
algos algo NCMP000 1
de de SPS00 0.999758
dario darío NP000P0 1
que que PR0CN000 0.648953
alli allí RG 1
traya traer VMII3S0 1
consigo consigo PP3CNO00 0.65625
. . Fp 1

do donde PR000000 0.984536
tomo tomar VMIP1S0 0.496933
muchos mucho DI0MP0 0.876506
carros carro NCMP000 1
cubiertos cubrir VMPS0PM 0.460071
de de SPS00 0.999758
oro oro NCMS000 0.968254
e e CC 1
muchas mucho DI0FP0 0.836538
lanças lanza NCFP000 0.749011
cubiertas cubrir VMPS0PF 0.916667
de de SPS00 0.999758
plata plata NCFS000 1
que que PR0CN000 0.648953
auian haber VMII3P0 0.5
las el DA0FP0 0.860393
cochillas cochillas NCFP000 1
de de SPS00 0.999758
oro oro NCMS000 0.968254
. . Fp 1

E e CC 1
dixo decir VMIS3S0 1
alexandre alejandro NP000P0 1
el el DA0MS0 0.880831
fierro hierro NCMS000 1
bien bien RG 0.963887
se saber VMIP1S0 0.763441
defiende defender VMIP3S0 0.930769
del del_de+del_el SP+DA 0.5
oro oro NCMS000 0.968254
. . Fp 1

E e CC 1
tomo tomar VMIP1S0 0.496933
alli allí RG 1
mucho mucho RG 0.930013
oro oro NCMS000 0.968254
e e CC 1
plata plata NCFS000 1
sin sin SPS00 1
cuenta cuenta NCFS000 0.398693
e e CC 1
tan tan RG 1
grandes grande AQ0CP0 0.996795
algos algo NCMP000 1
que que PR0CN000 0.648953
lo lo PP3CNa00 0.348232
non no RN 0.99968
podria poder VMIC3S0 0.5
ome hombre NCMS000 1
contar contar VMN0000 1
. . Fp 1

E e CC 1
dario darío NP000P0 1
fuyo huir VMIS3S0 0.65
con con SPS00 1
muy muy RG 1
pocas poco DI0FP0 0.0833333
conpañas compañía NCFP000 1
e e CC 1
fuese ser VSSI1S0 0.480496
para para SPS00 0.988789
babilonia babilonia NP000G0 1
. . Fp 1

E e CC 1
de de SPS00 0.999758
las el DA0FP0 0.860393
tres 3 Z 0.280029
batallas batalla NCFP000 1
que que PR0CN000 0.648953
dio dar VMIS3S0 1
alexandre alejandro NP000P0 1
a a SPS00 0.956937
dario darío NP000P0 1
esta este DD0FS0 0.817376
fue ser VSIS3S0 0.93672
la el DA0FS0 0.897854
primera 1 NCFS000 0.286385
e e CC 1
de de SPS00 0.999758
las el DA0FP0 0.860393
otras otro DI0FP0 0.698675
dos 2 Z 0.994169
diremos decir VMIF1P0 1
en en SPS00 1
el el DA0MS0 0.880831
capitulo capítulo NCMS000 1
que que PR0CN000 0.648953
se saber VMIP1S0 0.763441
sigue seguir VMIP3S0 0.916667
. . Fp 1

